epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27536,1.29966,3.65458,1.27494,0.00873,0.23516,0.18098,0.12966,1.07591,3.55089,1.05178,0.00028886,0.00028886,0.00028886
2,2.13735,1.13706,2.53883,1.08246,0.95332,0.17913,0.1698,0.1032,1.12237,2.79901,1.12973,0.000577171,0.000577171,0.000577171
3,3.01071,1.0638,2.18209,1.08671,0.96969,0.19669,0.42166,0.29683,0.94036,2.44085,1.05815,0.000853604,0.000853604,0.000853604
4,3.88645,1.0757,1.7191,1.07087,0.47465,0.61186,0.57902,0.40781,0.97559,1.78792,1.07253,0.00104501,0.00104501,0.00104501
5,4.83593,1.05839,1.79029,1.12603,0.64535,0.70538,0.74419,0.53306,0.92411,1.37249,1.04777,0.00102301,0.00102301,0.00102301
6,5.70775,1.03894,1.60707,1.09107,0.66269,0.70905,0.75932,0.5438,0.96594,1.30466,1.05671,0.00100101,0.00100101,0.00100101
7,6.58107,1.02005,1.56827,1.07944,0.85766,0.74883,0.87634,0.63533,0.87398,1.29192,1.02729,0.000979013,0.000979013,0.000979013
8,7.46378,0.95465,1.42772,1.02867,0.7586,0.79114,0.88787,0.62509,0.94701,1.20623,1.05333,0.000957015,0.000957015,0.000957015
9,8.3172,0.92646,1.34812,1.01892,0.89008,0.86827,0.95538,0.70783,0.90397,1.08226,1.02829,0.000935018,0.000935018,0.000935018
10,9.19269,0.895,1.24508,1.02169,0.95099,0.89326,0.96515,0.73314,0.85965,1.05397,1.01744,0.00091302,0.00091302,0.00091302
11,10.0694,0.94467,1.26116,1.03754,0.90489,0.84318,0.94987,0.71269,0.85686,1.10989,1.0435,0.000891022,0.000891022,0.000891022
12,10.9439,0.88785,1.27992,1.04931,0.88874,0.9134,0.93635,0.70199,0.85031,1.07576,1.03897,0.000869024,0.000869024,0.000869024
13,11.8001,0.91868,1.1885,1.03201,0.85481,0.96032,0.92526,0.71177,0.81371,1.02291,1.01567,0.000847026,0.000847026,0.000847026
14,12.6703,0.89669,1.12438,1.02037,0.94105,0.93438,0.97235,0.72651,0.88678,0.93472,1.06352,0.000825029,0.000825029,0.000825029
15,13.6025,0.90555,1.11257,1.02564,0.91458,0.94677,0.97725,0.7405,0.83798,0.92929,1.03507,0.000803031,0.000803031,0.000803031
16,14.4796,0.88246,1.06994,1.01433,0.93172,0.97951,0.98279,0.74674,0.80266,0.83802,1.00075,0.000781033,0.000781033,0.000781033
17,15.348,0.87848,1.0713,1.01068,0.89656,0.9904,0.97732,0.73143,0.7971,0.79443,0.99213,0.000759035,0.000759035,0.000759035
18,16.1998,0.89899,1.03973,0.99383,0.9622,0.96812,0.99345,0.75977,0.7742,0.74997,0.97635,0.000737037,0.000737037,0.000737037
19,17.0526,0.8436,0.98974,1.00538,0.93375,1,0.99207,0.76927,0.77855,0.73646,0.97275,0.00071504,0.00071504,0.00071504
20,17.9319,0.88678,1.02947,1.0012,0.9383,0.9978,0.98649,0.77728,0.75075,0.69279,0.95306,0.000693042,0.000693042,0.000693042
21,18.7926,0.87421,0.95904,0.99983,0.97111,0.98261,0.99062,0.75587,0.77398,0.69897,0.97157,0.000671044,0.000671044,0.000671044
22,19.6486,0.85606,1.00081,1.01468,0.97925,0.96353,0.99175,0.75316,0.77255,0.65496,0.97519,0.000649046,0.000649046,0.000649046
23,20.5009,0.83033,0.94405,0.99429,0.98399,0.95677,0.99387,0.77172,0.7381,0.6355,0.96754,0.000627048,0.000627048,0.000627048
24,21.4205,0.85381,0.89838,0.97219,0.98559,0.98923,0.99478,0.7785,0.73072,0.61633,0.96405,0.000605051,0.000605051,0.000605051
25,22.2898,0.81643,0.91526,1.01633,0.97113,0.99122,0.99426,0.77982,0.72947,0.62897,0.96055,0.000583053,0.000583053,0.000583053
26,23.1464,0.76764,0.87757,0.96245,0.96319,0.98829,0.98843,0.7847,0.72386,0.64203,0.94877,0.000561055,0.000561055,0.000561055
27,24.0061,0.80235,0.9511,0.97021,0.95134,0.99752,0.99209,0.78656,0.71154,0.63619,0.93973,0.000539057,0.000539057,0.000539057
28,24.8572,0.85186,0.92429,1.01567,0.96729,0.97619,0.99204,0.78798,0.70993,0.63487,0.93996,0.000517059,0.000517059,0.000517059
29,25.7264,0.7648,0.88039,0.961,0.97232,0.99905,0.99419,0.79497,0.72201,0.61272,0.94822,0.000495062,0.000495062,0.000495062
30,26.5821,0.77772,0.82946,0.95659,0.99217,0.99231,0.99478,0.81286,0.66239,0.53907,0.92739,0.000473064,0.000473064,0.000473064
31,27.4388,0.77544,0.81917,0.98385,0.98461,0.99962,0.99389,0.81192,0.66787,0.54261,0.92633,0.000451066,0.000451066,0.000451066
32,28.2909,0.74459,0.80663,0.93751,0.97625,0.99655,0.99219,0.80151,0.68636,0.55579,0.93657,0.000429068,0.000429068,0.000429068
33,29.2126,0.75392,0.79562,0.97248,0.97803,0.99791,0.9933,0.78938,0.70991,0.55413,0.94596,0.00040707,0.00040707,0.00040707
34,30.0828,0.78765,0.86135,0.98275,0.99243,0.98404,0.99478,0.8144,0.67022,0.53283,0.92146,0.000385073,0.000385073,0.000385073
35,30.9426,0.75392,0.78999,0.95176,0.9739,0.99604,0.995,0.81568,0.67041,0.52703,0.92007,0.000363075,0.000363075,0.000363075
36,31.7968,0.78648,0.76756,0.95747,0.98648,0.97865,0.995,0.81096,0.66465,0.52159,0.92697,0.000341077,0.000341077,0.000341077
37,32.6512,0.74625,0.79149,0.95415,0.97534,0.98841,0.99448,0.80591,0.68516,0.51678,0.93131,0.000319079,0.000319079,0.000319079
38,33.4969,0.75387,0.78232,0.94955,0.97576,0.99729,0.99448,0.80621,0.68107,0.52013,0.92962,0.000297081,0.000297081,0.000297081
39,34.3528,0.72675,0.74121,0.94209,0.98883,1,0.99478,0.81947,0.65582,0.51555,0.91892,0.000275084,0.000275084,0.000275084
40,35.2277,0.76537,0.74339,0.94912,0.98135,0.9958,0.99389,0.8268,0.64854,0.51328,0.9142,0.000253086,0.000253086,0.000253086
41,36.3029,0.7193,0.88656,0.9342,0.98495,0.99973,0.99359,0.83387,0.643,0.51394,0.91013,0.000231088,0.000231088,0.000231088
42,37.2504,0.68714,0.86918,0.91187,0.98649,0.99803,0.99478,0.8274,0.65336,0.50954,0.9122,0.00020909,0.00020909,0.00020909
43,38.1061,0.66812,0.89583,0.91886,0.98652,1,0.995,0.8173,0.668,0.51294,0.91659,0.000187092,0.000187092,0.000187092
44,38.9568,0.66973,0.85658,0.91083,0.9873,1,0.99478,0.82055,0.66175,0.50646,0.91518,0.000165095,0.000165095,0.000165095
45,39.8144,0.66732,0.84497,0.92143,0.98663,1,0.99478,0.82126,0.64406,0.4936,0.91023,0.000143097,0.000143097,0.000143097
46,40.6832,0.68052,0.80978,0.93644,0.98966,1,0.995,0.82565,0.63063,0.48348,0.9046,0.000121099,0.000121099,0.000121099
47,41.5372,0.67822,0.81697,0.93483,0.99435,0.99953,0.995,0.82713,0.63042,0.47544,0.90453,9.91012e-05,9.91012e-05,9.91012e-05
48,42.3966,0.67775,0.83151,0.95397,0.9938,0.99597,0.995,0.82531,0.62881,0.47023,0.90506,7.71034e-05,7.71034e-05,7.71034e-05
49,43.256,0.68397,0.82159,0.91929,0.9916,0.9973,0.995,0.82672,0.62585,0.46441,0.9045,5.51056e-05,5.51056e-05,5.51056e-05
50,44.124,0.65179,0.8218,0.92235,0.99299,0.99908,0.995,0.82926,0.62407,0.45998,0.90328,3.31078e-05,3.31078e-05,3.31078e-05
